"repo_id","repo_name","project_id","sum"
23,iii-env-demo-prj,1,14
89,a0rae2-01,2,2
94,c0radz-01,3,12
96,c0rd9810-01,5,2
97,c0rd27-01,6,1
98,d9racv-01,7,1
99,a0rt6230-01,8,2
100,a0rt6210-01,9,2
103,a0rae2-chiaherweb,10,21
105,a0raeg20-01,11,1
110,d0raey10-01,12,2
142,a0rae3-01,13,10
178,dti-spo-2021,16,1
179,dti-coradz-2021,17,1
199,a0rae2-01-sub01,19,1
214,test-project-050602,24,1
216,demo-01,25,1
221,csti-csdmp,26,23
222,csti-esm-edge,27,1
233,csti-esm-eta,29,8
234,csti-ufo,30,0
237,csti-ufo-core,31,0
238,csti-ufo-web,32,0
239,csti-ictd-forenser,33,0
240,csti-ictd-tm,34,14
241,csti-5gs,35,17
242,csti-csk-back,36,1
243,csti-csk-front,37,2
244,csti-5g-manage,38,5
251,csti-esm-winlog,39,2
251,csti-esm-winlog-edge,39,17
252,esm-test,40,1
257,xxxxxxxxxxx,41,0
278,pcc-gov-procurement-website,42,0
371,a0fx3220-proto,43,0
376,a0fx3220,48,0
377,eyes2,49,2
379,csti-esm-cloud,51,2
381,ictd-test,53,1
382,demo,54,2
383,ncu-ai,55,7
384,meosar-api,56,8
395,ioc-rules,58,5
403,systex-land-project,65,0
404,malware-analysis,66,1
408,binary-vulnerability-analysis,70,2
432,csti-esm-winlog-cloud,94,10
437,webaiexpl,99,1
438,herodotus-2021,100,0
439,test222,101,1
465,csti-ictd-transfer-learning,103,1
466,tp-20210701,104,2
467,a0rae4-main,105,1
469,a0kd3910,107,1
470,a0kd3920,108,1
471,a0kd3930,109,1
472,a0kafh20,110,1
473,a0kafh30,111,1
474,a0kd4011,112,1
475,a0kd4012,113,1
476,a0kx2710,114,1
477,a0kd4020,115,1
478,a0kx2711,116,0
479,a0kd4021,117,1
480,a0kx2720,118,1
481,a0kd4022,119,1
482,a0kx2721,120,1
483,a0kg1421,121,1
484,a0kx1610,122,1
485,a0kt7010,123,1
486,a0kt6910,124,1
487,a0kt6920,125,1
488,a0kt6120,126,1
489,a0kt6110,127,1
490,python-django-test-2021,128,1
491,csti-dtm,129,5
493,csti-5g-purpleteam,131,10
494,ar-smart-caption,132,0
495,ntch-ar-subtitle-sys,133,3
497,a0rae3-main,135,0
499,eta-multi-lable,137,4
500,a0rae3-frontend,138,7
501,client-for-user-a,139,3
502,webpage-for-client-a,140,1
527,a0vae132-iii5gc,141,1
165,a0rae2-chiaherweb01,,1
166,a0rae2-chiaherweb-1,,3
182,test-project-01,,1
200,test-abc,,1
213,test-project-050601,,1
223,csti-esm-cloud,,0
372,eyes,,3
373,sicachang,,0
385,ESM_App,,0
386,ESM,,0
387,csti-efk-custom,,0
388,csti_siem,,0
389,NT-ISAC,,0
390,NT-SOC,,0
391,NTP_SOC2,,0
392,OpenVas,,0
394,webaiexpl,,13
396,cicd,,3
397,t6,,3
400,webaiexpl2,,37
401,testcicd,,17
410,healthplatform,,2
421,testcicd,,2
468,test-0703,,1
